appearance_id,game_id,player_id,player_club_id,player_current_club_id,date,player_name,competition_id,yellow_cards,red_cards,goals,assists,minutes_played
2231978_38004,2231978,38004,853,235,2012-07-03,"Aur̩lien Joachim",CLQ,0,0,2,0,90
2233748_79232,2233748,79232,8841,2698,2012-07-05,"Ruslan Abyshov",ELQ,0,0,0,0,90
2234413_42792,2234413,42792,6251,465,2012-07-05,"Sander Puri",ELQ,0,0,0,0,45
2234418_73333,2234418,73333,1274,6646,2012-07-05,"Vegar Hedenstad",ELQ,0,0,0,0,90
2234421_122011,2234421,122011,195,3008,2012-07-05,"Markus Henriksen",ELQ,0,0,0,1,90
2234421_146889,2234421,146889,195,190,2012-07-05,"Peter Ankersen",ELQ,1,0,0,0,90
2235539_28716,2235539,28716,282,7185,2012-07-05,"Adi Adilovic",ELQ,0,0,0,0,90
2235539_69445,2235539,69445,282,19771,2012-07-05,"Ivan Sesar",ELQ,1,0,0,1,90
2235545_19409,2235545,19409,317,200,2012-07-05,"Willem Janssen",ELQ,0,0,0,0,45
2235545_30003,2235545,30003,317,317,2012-07-05,"Wout Brama",ELQ,0,0,0,0,90
2235545_30667,2235545,30667,317,317,2012-07-05,"Robbert Schilder",ELQ,0,0,2,1,90
2235545_34129,2235545,34129,317,1435,2012-07-05,"Wesley Verhoek",ELQ,0,0,0,0,90
2235545_36139,2235545,36139,317,36,2012-07-05,"Dusan Tadic",ELQ,0,0,1,0,45
2235545_4520,2235545,4520,317,317,2012-07-05,"Peter Wisgerhof",ELQ,0,0,0,0,90
2235545_4582,2235545,4582,317,317,2012-07-05,"Sander Boschker",ELQ,0,0,0,0,90
2235545_47740,2235545,47740,317,1426,2012-07-05,"Nils R̦seler",ELQ,0,0,0,0,90
2235545_59631,2235545,59631,317,968,2012-07-05,"Nacer Chadli",ELQ,0,0,0,3,45
2235545_60312,2235545,60312,317,1426,2012-07-05,"Joshua John",ELQ,0,0,1,1,45
2235545_63342,2235545,63342,317,11282,2012-07-05,"Leroy Fer",ELQ,0,0,0,0,26
2235545_63356,2235545,63356,317,1304,2012-07-05,"Tim Breukers",ELQ,0,0,0,0,90
